noc_code,year,gold,silver,bronze,total_medals,iso3
AUT,1992,9,10,10,29,AUT
CAN,1992,5,28,3,36,CAN
CHN,1992,0,3,0,3,CHN
ESP,1992,0,0,1,1,ESP
FIN,1992,6,1,6,13,FIN
FRA,1992,5,6,1,12,FRA
GER,1992,14,17,7,38,GER
ITA,1992,4,9,8,21,ITA
JPN,1992,3,2,7,12,JPN
KOR,1992,5,1,1,7,KOR
LUX,1992,0,2,0,2,LUX
NED,1992,1,1,2,4,NED
NOR,1992,9,10,5,24,NOR
